,m1,p,y,r
Q1 1982,4363000000000,26.6373509091603,44.7445592466546,11.969999999
Q2 1982,4611700000000,27.5846770951136,44.9127344257925,12.123333333
Q3 1982,4684000000000,28.3910787244788,45.2162701149682,12.263333333
Q4 1982,5003400000000,29.0408975131906,45.3756556505972,12.673333333
Q1 1983,4821800000000,30.1604648238626,45.5414869247993,12.209999999
Q2 1983,4900400000000,30.8964041749338,45.8227555170857,12.376666666
Q3 1983,4924300000000,31.5331743935912,45.8889708315198,12.266666666
Q4 1983,5347500000000,32.6605708462959,46.1860607821222,12.4
Q1 1984,4864300000000,33.7931867270224,46.5687032628785,12.52
Q2 1984,5142500000000,34.3829820934837,46.4251390855656,12.626666666
Q3 1984,5281100000000,35.3250888514152,46.8294626869773,12.353333333
Q4 1984,5788400000000,35.8705190796913,46.8892322628381,11.69
Q1 1985,5422300000000,37.0214029584941,47.4125090397376,11.053333333
Q2 1985,5714700000000,37.7077577433583,47.3679748459589,10.6633333326667
Q3 1985,5886400000000,38.0913857029592,47.8590229299922,10.4866666663333
Q4 1985,6535500000000,38.8403736240848,48.4080826611845,9.91333333333333
Q1 1986,6338600000000,40.3357397523251,48.5446151236902,9.43666666666667
Q2 1986,6703300000000,40.7846105621983,49.699574280766,9.22
Q3 1986,6807600000000,41.7006201800209,49.3509184215777,8.85333333333333
Q4 1986,7450200000000,42.1808075580248,49.6679315641338,8.69
Q1 1987,7095000000000,42.7940903505841,50.6840143537683,8.56333333333333
Q2 1987,7567700000000,43.0889880338147,51.4410956480057,8.83666666666667
Q3 1987,7774200000000,43.6344182620908,52.5058144650564,9.15
Q4 1987,8650800000000,44.1407027802036,53.5775649969142,9.31
Q1 1988,8538100000000,44.6835232944688,53.7510139621575,9.29333333333333
Q2 1988,9174300000000,44.8401061351223,54.407307344159,9.04
Q3 1988,9508600000000,45.9831608718924,55.3888175359916,8.95
Q4 1988,10319700000000,46.5572979542883,55.2651765506324,8.95666666666667
Q1 1989,10194700000000,47.4654784300783,56.5660437899568,9.21333333333333
Q2 1989,10984300000000,47.9378366660494,57.1250651171259,9.45
Q3 1989,11067000000000,49.1617925371571,57.8885921499366,9.55
Q4 1989,11859600000000,49.8638056060867,57.79366400004,9.97
Q1 1990,11660400000000,50.7824249379202,58.2993614899215,10.2633333333333
Q2 1990,12930200000000,51.1791014675756,59.290247301497,10.6233333333333
Q3 1990,12953300000000,52.3064979202803,59.1138684550841,10.7433333333333
Q4 1990,14163100000000,53.2225075381029,61.3499537637607,10.9866666666667
Q1 1991,14029100000000,53.9219108930216,60.1697976286258,11.05
Q2 1991,15086600000000,54.2872708545463,60.9051978022079,10.56
Q3 1991,15036500000000,55.4042284512075,61.364017193375,10.1866666666667
Q4 1991,15898800000000,56.1923620824964,61.6693108112525,10.09
Q1 1992,15419000000000,57.4554636637675,62.283413904411,10.3466666666667
Q2 1992,15922800000000,57.7555807750199,61.4730087728859,10.2433333333333
Q3 1992,15588900000000,58.5019589821346,61.5122691805593,10.4166666666667
Q4 1992,15631300000000,59.1178514887048,61.1108754603173,10.7266666666667
Q1 1993,14948100000000,59.8877171219175,60.5413065609374,10.63
Q2 1993,15446400000000,60.4566347762917,60.5383766797677,10.5933333333333
Q3 1993,15165800000000,61.187354699341,61.2655731860748,9.26
Q4 1993,16180500000000,61.9363426204666,61.4946898935414,8.03
Q1 1994,15860300000000,62.881059092409,62.0039032408264,7.11
Q2 1994,16720000000000,63.3821241825,62.1416076558,6.49333333333333
Q3 1994,16707400000000,64.0580401113207,62.6338276923011,6.44333333333333
Q4 1994,17337600000000,64.6347869077275,62.8676322096392,6.76333333333333
Q1 1995,16701100000000,65.8796204909223,65.1711165047423,7.45666666666667
Q2 1995,17355000000000,66.6312181260588,65.3895450057021,7.77333333333333
Q3 1995,17334500000000,66.9026283831915,65.5738989886587,7.85
Q4 1995,17887800000000,67.461107181522,65.9169470552883,7.63333333333333
Q1 1996,17468900000000,68.2831670949526,66.2912393747111,7.36666666666667
Q2 1996,18330200000000,69.0347647300891,66.8421097724663,6.19666666666667
Q3 1996,18249600000000,69.3557595534286,67.410207871499,5.70333333333333
Q4 1996,19116100000000,69.6976320888553,67.8417617885013,5.19333333333333
Q1 1997,19466000000000,70.0186269121948,68.5545725782654,4.40333333333333
Q2 1997,20946300000000,70.1204057586196,69.1838114375464,4.00666666666667
Q3 1997,20469300000000,70.6058125646452,69.9750258474102,3.82
Q4 1997,21834900000000,71.0729513725946,71.0549155891573,3.6
Q1 1998,21705700000000,71.3104353475857,69.9370767004068,3.24666666666667
Q2 1998,22567600000000,71.5348707525223,70.5308501731785,3.06
Q3 1998,22653200000000,72.0046192744826,71.1584328116596,2.91666666666667
Q4 1998,25270600000000,72.1351049750271,71.7631238275249,2.46333333333333
